
=== combined dataframe of bps_pred===
        feature  RF_score  SKB_score     PCA_score  XGB_score  FS_BIC_score  RF_score_rank  SKB_score_rank  PCA_score_rank  XGB_score_rank  FS_BIC_score_rank  Weighted_Avg_Rank
0            #C  0.075724   0.236209  3.740790e+00   0.034518           1.0            4.0             6.0            14.0             7.0                1.0               12.2
1            #O  0.004239   0.084039  3.466506e+00   0.003951           1.0           22.0            14.0            20.0            24.0                1.0               23.4
2         #O/#C  0.029946   0.238128  4.321324e+00   0.012768           0.0            8.0             5.0             5.0            13.0                2.0               15.2
3      #Halogen  0.012014   0.020336  3.154594e+00   0.127607           1.0           15.0            28.0            28.0             3.0                1.0               24.4
4   #Halogen/#H  0.008183   0.020454  3.272766e+00   0.001499           0.0           17.0            27.0            26.0            33.0                2.0               33.9
5          #R=R  0.010331   0.066738  4.556691e+00   0.005988           1.0           16.0            17.0             3.0            18.0                1.0               16.8
6          #R#R  0.002833   0.011835  4.416364e+00   0.003103           1.0           29.0            32.0             4.0            27.0                1.0               26.0
7        #Donor  0.078828   0.089820  4.185644e+00   0.054752           1.0            3.0            10.0             6.0             6.0                1.0               10.6
8       #Accept  0.385837   0.262287  3.989861e+00   0.235597           1.0            1.0             4.0             9.0             1.0                1.0                8.3
9         #Ring  0.014491   0.058623  3.768903e+00   0.010403           1.0           14.0            18.0            13.0            15.0                1.0               19.1
10        #AlCR  0.002553   0.097347  3.681203e+00   0.001421           1.0           30.0             7.0            16.0            34.0                1.0               23.7
11        #AlHR  0.027618   0.032829  3.330272e+00   0.024924           1.0            9.0            23.0            24.0            11.0                1.0               22.1
12         #AlR  0.002015   0.084846  2.893619e+00   0.007071           0.0           32.0            13.0            32.0            17.0                2.0               31.3
13        #ArCR  0.000298   0.000942  2.390649e+00   0.000803           1.0           35.0            37.0            36.0            36.0                1.0               40.1
14        #ArHR  0.003854   0.094942  3.035896e+00   0.030772           0.0           24.0             8.0            29.0             9.0                2.0               25.7
15         #ArR  0.005812   0.093539  3.014494e+00   0.082336           1.0           19.0             9.0            30.0             5.0                1.0               20.5
16         #SCR  0.003566   0.086559  3.495742e+00   0.003988           1.0           25.0            11.0            19.0            23.0                1.0               22.6
17         #SHR  0.002089   0.038479  3.715337e+00   0.003066           0.0           31.0            21.0            15.0            28.0                2.0               30.6
18          #SR  0.004105   0.084955  2.766634e+00   0.004543           1.0           23.0            12.0            33.0            20.0                1.0               26.1
19        #Bran  0.017917   0.031444  4.150873e+00   0.002376           1.0           11.0            24.0             7.0            31.0                1.0               21.7
20          #OH  0.000000   0.000403  1.579142e-14   0.000000           0.0           39.0            40.0            40.0            39.0                2.0               47.6
21        #AlOH  0.000000   0.001317  6.517439e-15   0.000000           0.0           39.0            36.0            44.0            39.0                2.0               47.6
22        #ArOH  0.000000   0.000000  1.804124e-14   0.000000           0.0           39.0            43.0            39.0            39.0                2.0               48.2
